Food Description,type,Serving,Date,Meal,Sugar,Sodium,Fat,Protein,Calories,Carbohydrates,Water Intake (fl oz)
Premier Protein - Chocolate Shake (Low Fat / Low Carb),dessert,11 fl oz,4/1/2019,Breakfast,1,210,3,30,160,5,17
Rigatoni - Rigatoni,grains,1 cups,4/1/2019,Lunch,1,0,4,8,240,42,17
Lidia's - Vodka Sauce,fats&seasoning,0.5 cup,4/1/2019,Lunch,5,220,5,2,90,7,17
Aladdin - Grilled Chicken Breast,meats,1.5 Each,4/1/2019,Lunch,0,116,6,48,257,0,17
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/1/2019,Lunch,10,90,6,0,140,21,17
Pom Wonderful (Mh) - Pomegranite Juice,juice,8 oz,4/1/2019,Lunch,32,0,0,1,150,38,17
Spinach-fresh - Spinach,vegetables,2 cups,4/1/2019,Dinner,0,65,0,3,14,0,17
Tomatoes* - Grape Tomatoes,fruits,12 tomatoes 3 oz,4/1/2019,Dinner,4,0,0,1,30,5,17
Aladdin - Grilled Chicken Breast,meats,1.5 Each,4/1/2019,Dinner,0,116,6,48,257,0,17
Kraft - Monteray Jack Cheese,fats&seasoning,0.5 oz,4/1/2019,Dinner,0,125,3,4,40,1,17
Balsamic Vinegar - Balsamic Vinegar,fats&seasoning,0.5 tbsp,4/1/2019,Dinner,5,3,0,0,20,5,17
the Gluten Free Bar - Peanut Butter,fats&seasoning,58 g,4/1/2019,Snacks,13,160,10,12,240,28,17
Town House - Flatbread Crisps - Sea Salt & Olive Oil,fats&seasoning,4 crackers (15 grams),4/1/2019,Snacks,1,70,1,1,35,6,17
Premier Protein - Chocolate Shake (Low Fat / Low Carb),dessert,11 fl oz,4/2/2019,Breakfast,1,210,3,30,160,5,68
Chobani - Strawberry,fruits,1 cup,4/2/2019,Breakfast,15,60,0,12,120,19,68
California. Roll - California Roll,grains,6 piece,4/2/2019,Lunch,0,0,7,9,255,38,68
Nori - Shrimp Tempura Roll,grains,1 roll,4/2/2019,Lunch,0,0,21,20,420,44,68
New York Roll - Sushi,grains,6 pieces,4/2/2019,Lunch,13,448,6,8,179,22,68
Giant - Jumbo Shrimp,meats,7.5 ea,4/2/2019,Dinner,0,255,3,35,180,0,68
Rigatoni - Rigatoni,grains,1 cups,4/2/2019,Dinner,1,0,4,8,240,42,68
Classico - Tomato & Basil Sauce,fruits,125 g,4/2/2019,Dinner,5,400,1,2,45,8,68
Thats It - Apple Pear,fruits,1 bar,4/2/2019,Snacks,24,15,0,1,100,27,68
Homemade - Frosted Sugar Cookie,dessert,2 cookie,4/2/2019,Snacks,26,160,3,2,160,46,68
Planters(g) - Dry Roasted Peanuts,fats&seasoning,56 g,4/2/2019,Snacks,4,320,28,14,340,10,68
Protein Shake - Water Only (2 scoops),juice,1 serving(s),4/2/2019,Snacks,2,274,2,48,240,6,68
