Id,Category
14,italian
22,mexican
24,southern_us
37,italian
40,mexican
41,mexican
44,southern_us
46,indian
54,chinese
60,mexican
61,italian
64,indian
69,italian
70,italian
73,southern_us
82,indian
89,italian
91,southern_us
93,mexican
98,chinese
102,indian
104,chinese
108,mexican
110,italian
112,southern_us
116,mexican
132,italian
141,southern_us
145,southern_us
158,mexican
176,chinese
180,mexican
187,italian
189,mexican
193,mexican
194,mexican
196,chinese
205,italian
208,italian
216,chinese
231,mexican
242,chinese
252,indian
259,chinese
262,southern_us
269,southern_us
272,italian
275,mexican
279,mexican
284,chinese
291,italian
298,mexican
302,southern_us
305,italian
306,mexican
311,mexican
312,mexican
317,mexican
323,chinese
324,southern_us
332,chinese
336,mexican
340,italian
347,italian
352,mexican
355,italian
362,southern_us
363,chinese
366,chinese
371,italian
377,indian
382,mexican
385,italian
387,italian
389,southern_us
394,italian
397,southern_us
402,indian
409,chinese
410,chinese
429,mexican
432,indian
436,southern_us
441,chinese
442,southern_us
448,mexican
449,mexican
451,mexican
452,southern_us
462,mexican
467,italian
468,mexican
469,mexican
470,italian
478,southern_us
484,southern_us
485,mexican
486,chinese
492,mexican
501,southern_us
506,southern_us
509,chinese
513,mexican
514,southern_us
516,mexican
522,mexican
524,italian
532,southern_us
534,mexican
545,indian
548,mexican
550,mexican
572,italian
576,italian
589,mexican
595,mexican
597,mexican
598,italian
602,italian
609,italian
611,mexican
612,southern_us
613,chinese
614,italian
629,southern_us
636,southern_us
639,italian
645,mexican
647,chinese
650,italian
653,mexican
654,southern_us
658,indian
659,southern_us
663,southern_us
666,mexican
667,indian
675,mexican
677,southern_us
684,mexican
700,chinese
709,indian
711,chinese
720,italian
727,southern_us
730,italian
735,chinese
736,italian
742,mexican
745,southern_us
747,italian
758,southern_us
764,indian
766,mexican
772,mexican
773,italian
786,mexican
790,chinese
791,italian
802,mexican
803,indian
812,mexican
814,italian
818,mexican
829,italian
831,mexican
844,italian
845,mexican
849,italian
854,italian
858,chinese
869,italian
870,southern_us
875,southern_us
879,mexican
887,mexican
888,southern_us
889,italian
901,chinese
903,italian
904,indian
907,mexican
917,southern_us
928,mexican
931,mexican
933,italian
936,mexican
947,italian
951,italian
952,mexican
955,indian
961,mexican
964,italian
965,mexican
982,italian
986,mexican
993,chinese
994,chinese
999,italian
1004,mexican
1008,mexican
1012,southern_us
1016,southern_us
1024,mexican
1031,indian
1034,southern_us
1035,southern_us
1040,chinese
1047,italian
